glosa,english
menda,defect; fault 
mendaci,mendacious; mendacity; lie (untruth) 
mendika,beg 
mene G,moon 
meninge G,brain membrane 
menio +G,betray 
meniske G,moon (crescent) 
meno 1++G,month; monthly 
"meno 10 (speak ""meno deka"") 1",October 
"meno 4 (speak ""meno tetra"") 1",April 
"meno 6 (speak ""meno sixa"") 1",June 
"meno 7 (speak ""meno seti"") 1",July 
"meno 8 (speak ""meno okto"") 1",August 
meno bi 1+,February 
meno deka 1+,October 
meno hexa (=meno sixa) X,June 
meno mo 1+,January 
meno mo-bi 1+,December; twelfth month 
meno mo-mo 1+,November 
meno nona 1+,September 
meno ok (=meno okto) 1X,August 
meno okto 1+,August 
meno pen (=meno penta) 1X,May 
meno penta 1+,May 
meno septi (=meno seti) 1X,July 
meno seti 1+,July 
meno six (=meno sixa) 1X,June 
meno sixa 1+,June 
meno tet (=meno tetra) 1X,April 
meno tetra 1+,April 
meno tri 1+,March 
mensa 1++,counter (table); table (furniture) 
mense,menses; menstruation; month 
mensi (take meno) 1X,month; monthly 
mensura (prefer metri),measure 
menta 1++,mind (n); mental 
Menta,mint 
menta-sani 1+,sane 
menti,lie (untruth) 
mentio,mention 
mentu +,chin 
menu 1+,bill of fare; menu 
meravilia,marvel 
merca (=merka) X,purchase 
merda,dung; excrement; shit 
meretrici,prostitute 
merge 1++,dive; immerse; plunge; sink (plunge); submerge 
meridie,noon; meridean 
meriko,ruminating animal 
merita (=merito) X,deserve; earn; merit 
merito 1++,deserve; earn; merit; worthy 
merka 1++,buy; bribe; buy (v); purchase; ransom (v) 
merka-lo,market; market-place 
merka-pe 1++,buyer; customer 
plu merka-ra 1++,goods 
merka-vendo-pe 1*,merchant 
merkato 1,market 
merko-vendo-pe (=merka-vendo-pe) X,merchant 
merkuri 1,mercury (Hg); quicksilver 
merkuri 1,mercury (messenger); messenger 
merkuri-di,Wednesday 
mero 1++G,part; bit; piece; abstract; department; district; quarter (district); ward (division); division (part); fragment; instalment; morsel; part (rôle); rôle; partial (partly); partly; portion; section; share; slice (n) 
mero agri 1,allotment 
mero butiri 1,pat of butter 
mero landa 1+,county; estate; province 
mero pani 1,some bread 
mero preci 1,deposit 
mero stori 1,serial 
mero-pe 1,member 
mero-te 1,rag (cloth) 
merula,blackbird 
mesage (French) 1,message 
mesati G,midmost 
meskino G,mean (paltry); paltry 
mesme,same; self 
meso 1++G,middle; amid; average; between; centre; centric; centrical; mean (middle); medial; medium (middle); mid; moderate; normal 
meso frigi 1++,cool 
meso noktu 1,midnight 
meso termo 1++,warm (temperature) 
meso-di 1+,midday; noon 
meso-di vora 1*,dine 
meso-foto 1,dim; twilight 
meso-me,hub 
meso-soma 1++,waist 
meso-vora 1+,lunch 
meso-zo 1,belt 
mesoro G,boundary stone 
mesto G,frilled 
mestra G,month 
meta G,alter; change 
meta- G,(prefix:) alter; alter (prefix); (prefix:) change; change (prefix) 
metabolismo G,metabolism 
metali 1++G,metal; metallic 
metali-fi 1+,wire 
metaxi G,between 
meteo 1++G,weather; climate 
meteori G,meteor 
"meter (take matri for mother, uteri for womb) GX",mother; womb 
meti (prefer vini) G,wine; methy- 
metikulo,meticulous 
metodi 1+G,method; approach; manner; way (manner); way (method) 
metopo,forehead 
metra 1++,meter (metre); metre; metric 
metra-sistema,metric system 
metri 1++G,measure; dimension; gauge; mete (v); meter (v); size (measurements) 
plu metri 1+,size (measurements) 
metri-banda 1,tape-measure 
metri-co 1+,to that extent 
metri-me 1,gauge 
metri-ru 1+,meter (measuring device) 
metro (=metri) GX,measure 
"metro (prefer matri for mother, uteri for womb) 1G",mother; womb 
metro-polis G,metropolis; mother city 
mi 1++,I; me; my 
mi auto 1++,myself 
mi auto bibli 1,my own book 
mi bibli 1,my book 
mi pa vide 1,I saw 
mi vide 1,I see 
miasma G,bad vapor 
migas G,promiscuous 
migma +G,mixture 
migra,migrate 
mika 1+G,chip; chip (electronic); crumb; mince; morsel; shatter; speck (crumb) 
miko 1+G,fungus; myco- 
mikro 1++G,little; tiny; minute (tiny); small; petty; trickle 
mikro-preci 1,cheap 
mikrofoni 1G,microphone 
mikrometra,millionth/metre; one millionth of a metre 
mikron (prefer mikrometra) G,millionth/metre; one millionth of a metre 
mikroskope 1++G,microscope 
mila 1+G,mill 
mile,thousand 
mili +,thousandth 
milieu (French),environment 
miliko G,gentle; kind (friendly) 
milimetra,millimeter; millimetre 
miliona 1++,million 
miliona-pe 1,millionaire 
milita 1++,war; fight; battle; military; riot; strife 
milita navi 1,cruiser 
milita-do 1+,barracks 
milita-pe 1++,soldier; warrior 
miliu,millet 
mime (=mimi) 1GX,imitate 
mimi 1+G,copy; imitate; mimic 
mina 1+G,mine (coal etc.); undermine 
minerali 1+,mineral 
minge,urinate 
mini 1++,least; minimum; smallest 
mini-ra 1++,detail 
miniatura,miniature 
minimo +,at least 
ministra 1,ministry; useful; serve; serviceable 
ministra-pe 1,minister 
minorita +,minority 
minu 1,diminish; minor; decrease; junior; less; lessen; reduce 
minus 1++,without; lack; -less; minus; missing (not there); subtract 
minus fiska 1,tax-free 
minus kapila 1+,bald 
minus monito 1,without notice 
minus uti 1,useless 
minus zima 1*,without yeast 
minuskula,minuscule 
minuta 1++,minute (n) 
mio 1G,mouse (animal) 
mio (take muskula) 1GX,muscle 
"Mios (=mio, prefer Mus) GX",mouse (animal) 
miosotis G,forget-me-not 
mira 1++,wonder; admiration; admire; amaze; amazement; astonish; astound; marvel; surprise 
mira-ple 1+,wonderful 
mira-ra 1++,miracle 
mirako G,girl 
mirakulo,miracle; miraculous 
miranda,wonderful 
miria,myriad; lots; many 
mirismo G,anointing 
miristika G,nutmeg 
mirmeko 1+G,ant 
miro G,ointment 
mirso G,basket 
mis-,(prefix:) badly; badly (prefix); (prefix:) wrongly; wrongly (prefix) 
mis-kron 1,mistimed; inopportune; inconvenient 
misa,mass (religious) 
misaro G,loathsome 
misce,blend; mix 
miseri,pity 
miserikordia,compassion 
misili 1+,missile; projectile; shrapnel 
misio 1+,mission 
miso 1++G,hate; hostile; aversion; detest; distaste; loathe; spite; venomous 
miso G,dirt 
miso ridi 1,sneer 
mistako G,moustache 
misteri 1++G,mystery; mystic; mysterious; problem; unexplained; weird 
misteria,mysterious 
mistici,hybrid; mongrel 
mistika 1+G,mystic 
mite 1++,send; envoy (v); ship (v); transmit 
mite longi 1,transmit 
miti,gentle; mild 
miti G,myth 
mitiga,mitigate; make milder 
mitilus G,mussel 
mito 1G,fiber; fibre; thread 
mitralia,machine gun 
mix e presa 1+,knead 
mixa 1++,mix; blend; mess; mingle; muddle; whisk 
mixa ova 1,scramble (egg) 
mixa vendo 1,jumble sale 
mixo G,mucus; myxo 
mizo G,suck 
mnemo 1G,remember 
mo 1++G,one; single 
mo (after noun) 1++G,first 
-mo (short affix form of mobili) 1+,furniture; piece of furniture 
mo bi ze (=mo-bi-ze) 1X,a hundred and twenty; a/one hundred and twenty ; one hundred and twenty 
mo kron 1++,once 
mo mo (=mo-mo) 1X,eleven 
mo nona (=mo-nona) 1X,nineteen 
mo nova 1,item 
mo pedi-ve 1,odd shoe 
mo sixa (=mo-sixa) 1X,sixteen 
mo-bi 1++,dozen; twelve 
mo-bi-ze 1,a hundred and twenty; a/one hundred and twenty ; one hundred and twenty 
mo-mo 1++,eleven 
mo-nona 1,nineteen 
mo-pen (prefer mo-penta) 1,fifteen 
mo-penta 1,fifteen 
mo-penta-ze 1,a hundred and fifty 
mo-ra 1,item 
mo-seti 1,seventeen 
mo-sixa 1,sixteen 
mobi 1,car 
mobila (=mobili) X,furnish; furniture; piece of furniture 
mobili 1++,furnish; furniture; piece of furniture 
mode 1++,mode; way (manner); way (method); fashion; approach; attitude; manner; method; style 
modela 1++,model; pattern 
modem,modem 
modera,moderate 
moderni 1,modern 
modesti 1+,modest; chaste 
modifi,modify 
modula,modulate 
mogi G,difficult 
moklo G,crowbar; lever 
mola 1+,grindstone; jetty 
mole 1,accumulate; heap; huddle; pile 
molekula 1+,molecule 
molesta,molest 
moli 1++,soft; bland; mushy 
moli kanta 1+,lullaby 
moli ridi 1,chuckle 
moli-intra 1,pith 
moli-ma 1,pulp 
molibdo G,lead (Pb) 
molina,mill (v) 
molobro G,greedy 
molpa G,song 
moluska,mollusc 
momenta 1,moment 
momento (=momenta) 1X,moment 
momi (=mumi) X,mommy 
momio,mummy (wrapped body) 
momo G,blame 
monaka (=monako) GX,monk; monastic 
monako 1+G,monk; monastic 
monako-do 1,monastery 
moneta 1++,coin; coined money 
monili,necklace 
monito 1++,advice; advise; admonish; warn; prevent (by advising) 
monito anti 1,dissuade 
monito de 1,warn of; warn against 
monito-me,monitor (device) 
monito-pe 1,monitor (person) 
monito-ra 1,monitor (device) 
mono (prefer short form mo) G,one; single 
monotono 1G,monotonous; boring; humdrum; tedious 
mono-mode,singular 
mono-ra,unit 
monstra 1++,show (v); display; exhibit; expose; produce (show); reveal; show (n) 
monstra se 1+,appear 
monstra u via a 1+,direct 
monsuna 1,monsoon 
monti 1++,mountain 
monti-latu 1,precipice 
monti-line 1++,range 
monti-via 1,mountain road; pass (mountain road) 
montikula,hill (small) 
monumenta,monument 
mora 1,delay; linger 
moral (=morali) 1X,chaste 
morali 1++,moral; chaste; ethical; ethics; morale 
morbi,disease 
morda 1++,bite; nibble; snap (bite) 
more 1++,custom; customs (ethical); habit; usual 
morfo 1+G,form; shape 
mori 1+,die; dying; expire; perish; wilt 
mormo G,bugbear 
moro (=moroni) GX,moron; stupid 
moroni 1G,moron; stupid 
Morsa kodi 1,Morse code 
morta 1++,dead; death; die 
morta agri 1+,cemetery 
morta ritu 1,funeral 
morta soma 1+,corpse 
morta-lo 1++,cemetery; churchyard; grave (tomb); tomb 
morta-pe 1+,dead man; dead woman; dead body; body (dead); corpse 
morta-va 1+,coffin 
morto-lo (=morta-lo) 1X,cemetery 
morus,mulberry 
moski,musk 
moskito 1+,gnat; mosquito 
motacila,wagtail 
moti 1++,move; put; go; lay; move something; place (v); shift; transfer 
moti ab 1,move aside; remove 
moti-me 1,motor 
motiva 1+,motivate; motive 
motori 1++,motor; engine 
move 1,move; go 
"movimenta (=movimento, prefer cirkulati or kine) X",movement; traffic 
movimento (prefer cirkulati or kine),movement; traffic 
mu 1++,they; their; theirs; them; they (female); they (male) 
muce (=muci) X,be mouldy 
muci 1+,mucus; slime; mouldy; be mouldy ; silt; slimy 
mucido (=muci) X,mouldy; be mouldy 
mucilagino (=muci) X,slimy 
mugi 1+,bellow; howl; moan; roar 
mukro,point (sharp) 
muku (=muci) 1X,mucus; silt; slime 
mula (=muli) X,mule 
mulce,caress; stroke 
mulge,milk (v) 
muli,mule 
mulkta,fine (v) 
mulo (=muli) X,mule 
multi 1++,many; abundant; much; multiply; numerous; plenty 
"multi cide (=multi-cide, prefer poli-cide) 1X",slaughter 
multi-cide (prefer poli-cide) 1,massacre; slaughter 
u multi-pe (prefer poli-pe) 1,multitude 
multipli 1+,multiply 
mumi,mummy (mother); mommy 
munda 1++,world 
munda-carta 1+*,map of the world 
munge,blow nose 
muni,fortify 
municipali,municipal 
mura 1++,wall 
muri (prefer Mus) 1X,mouse (animal) 
murmura (=murmuro) X,murmur 
murmuro 1+,grumble; mumble; murmur; mutter 
Mus 1++,mouse (animal); mouse (computer) 
mus butona,mouse button (computer) 
mus tape,mouse mat (computer) 
musea (=museu) GX,museum 
museu +G,museum 
musi 1,whisper 
musika 1++G,music 
musika-pe 1+,musician 
musika-ru 1,music instrument 
muska 1,fly (insect) 
Muskata 1+,nutmeg 
muski 1+,moss (plant) 
musko (=muski) X,moss (plant) 
musku (=muski) X,moss (plant) 
muskula 1++,muscle 
muskulo (=muskula) X,muscle 
musta,wine (new) 
Mustela 1+,weasel 
muta 1++,change; affect; alter; inflect; transform; vary 
mute 1,mute; dumb 
mutila,mutilate 
mutua 1+,mutual; reciprocal 
na 1++,we; our; ours; us 
na domi 1,our house 
nagma G,heap; pile 
nakra,mother-of-pearl 
nano 1+G,dwarf; teeny; very small 
napo 1,valley 
napus,turnip 
nara 1++,narrate; tell; narrative; report 
nari 1+,nostril 
narko 1++G,narcotized; drunk; drunken 
nasa 1++,nose; flair; nasal; smell (v); sniff 
nasa-te 1++,handkerchief; hankie; hanky 
nasa-textili,handkerchief 
naske,be born 
nasma G,spring (source); stream (n) 
nasti,press (urge); urge 
nati 1++,birth 
nati-di 1++,birthday 
nati-lo 1,native country; one's country 
nati-pe 1,native 
natio 1++,nation; national; nationality 
natio-ismo,nationalism 
natrix G,water-snake 
natura 1++,nature; natural 
nau 1G,ship (n); boat 
nauplius G,crustacean larva 
nausea G,seasick 
nauti G,seaman 
navi 1++,ship (n); boat; barge; vessel (ship) 
navi frakti 1++,wreck 
navi-fa 1+,fleet 
u navi-fa 1++,navy 
navi-funda 1,keel 
navi-kli 1,berth 
navi-lo 1+,dock; quay 
navi-milita,navy 
navi-nexu,port 
navi-pali 1,mast 
naviga 1+,navigate 
ne 1++,not; omit 
ne ... 1,miss (do not) 
ne a nu (=ne a-nu) 1X,not yet 
ne a-nu 1,not yet 
ne akti 1++,refrain 
ne cepti 1,reject 
ne ci 1,absenti 
ne foto 1++,dull (not clear/bright) 
ne holo 1,partial (partly); partly 
ne importa 1++,never mind 
ne la 1,absenti 
ne lase 1+,prohibit 
ne ma de 1,mere 
ne mo 1,neither 
ne pa 1,didn't 
ne pote 1,cannot 
ne pote dice 1,mute; dumb 
ne ridi 1,serious 
ne ski 1,ignore 
ne ski perilo 1,reckless 
ne veri? 1+,isn't it? 
ne- 1+,(prefix:) not; not (prefix); dis- 
ne-ami 1,acquaintance 
ne-bate 1+,miss (failure to hit) 
ne-noce (prefer inocenti),innocent 
ne-ski 1++,ignorant 
nebu 1++,fog; haze; mist (fog) 
nebula (prefer nebu) 1,fog; mist (fog) 
nece 1++,necessary; have to; must; duty; essential; necessity; need; urgent 
mi nece ki 1,I must go 
nece-fa 1++,equipment 
plu nece-ra 1,necessities 
nedimo G,delightful 
nefo 1++G,cloud; nepho- 
nefro 1+G,kidney; nephro- 
nega 1++,deny; abstain; answer negatively; behave negatively; decline; negative (v); refuse; turn down 
negativi 1+,negative 
neglige,neglect 
negoti 1++,business; negotiate; deal (business); do business ; negotiation; negotiations 
negotia (=negoti) 1X,business; negotiate; deal (business); do business ; negotiation; negotiations 
neka 1++,drown 
nekro 1G,death 
nektari G,nectar 
nekto 1++G,swim (active); swimming 
nekto-ve 1G,swimsuit 
neleo G,pitiless 
nelipo G,barefoot 
nema (prefer fi) 1G,thread; fiber; fibre 
"nemato (=nema, prefer fi) GX",thread 
nemertes G,certain; sure 
Nemesis G,Nemesis (goddess of retributive justice) 
nemo G,thread 
neo 1++G,new; fresh; novel (new) 
neo pe 1,recruit 
plu neo-ra 1,novelty 
neon 1,neon 
nepoti,nephew (or niece); niece (or nephew) 
nereidi G,sea-maid 
nervo 1++,nerve 
nervosi (=nervoso) 1X,nervous; anxious 
nervoso 1++,nervous; anxious; eager; jittery; timid 
nesia 1++G,island 
neskie,ignorant 
nesti G,fast (v) 
nestor G,wise counsellor 
net 1,neat 
neta 1G,duck 
neuro 1G,nerve 
neutra 1++,neutral; neuter 
neutro (=neutra) 1X,neutral; neuter 
neutron G,neutron 
nevus,birthmark 
nexi (=nexu) 1X,connect; attach; connection; connexion; interconnection; join (connection); junction; linkage; mating; merge; network; union; unite 
nexu 1++,connect; attach; connection; connexion; interconnection; join (connection); junction; linkage; mating; merge; network; nexus; tie; union; unite 
ni 1++,neither; nor 
ni ... ni 1++,neither ... nor; neither ...nor 
nic,niche 
nidi 1++,nest 
nido (=nidi) 1X,nest 
nidor,cooking smell 
nifa (prefer nivi),snow 
nigra,black 
"nigri (=nigra, prefer melano) X",black 
nigro 1,Negro 
"nigro (=nigra, prefer melano) 1X",black 
nike G,victory 
nikel 1,nickel 
nikotini +,nicotine; tobacco 
nikti 1+,blink; wink; twinkle 
nikti (=nivi) 1X,snow 
nikti (=noktu) GX,night 
nikto (=noktu) 1X,night 
nilon (=niloni) X,nylon 
niloni 1++,nylon 
nima 1+G,name; appoint; title 
nima-bibli 1+,directory 
nima-bileta,label 
nima-verba 1,noun 
nimbu,rain cloud 
nimfa G,nymph; young woman 
nipto G,bathe; wash 
Nirvana,Nirvana 
nistagmo G,drowsy; sleepy 
niti,neat; bright 
nitrogen 1,nitrogen 
niva (=nivi) 1X,snow 
nive (prefer nikti),wink 
nivi 1++,snow; snowy 
nixi G,prick (n); prick (v); stab 
no 1++,no 
no ge expecta (=no-ge-expekta) 1X,unexpected 
no ge ski (=no-ge-ski) 1X,unknown 
no! 1,no! 
no- (also non-) 1+,dis-; (opposite formed); un- (form opposite); (prefix:) opposite; opposite (prefix) 
no-bato 1,shallow 
no-bi-divide 1+,odd (not even); not even ; uneven (number) 
no-bi nume (take no-bi-divide) 1X,odd (not even); not even ; uneven (number) 
no-cede 1++,resolute 
no-civili 1,impertinent; rude; surly 
no-dama 1+,wild 
no-defekti 1,perfect; all right 
no-dice 1,dumb; mute 
no-dina 1++G,feeble; frail 
no-duce 1,secondary 
no-face 1++,demolish; destroy; havoc; undo 
no-facili 1++,difficult; obstacle; rude 
no-famo 1,insignificant 
no-fatiga 1,fresh (awake) 
no-felici 1,unhappy 
no-feno 1++*,disappear 
no-ferali 1,domesticated 
no-fertili 1,barren 
no-fini 1+,eternal; infinite 
no-flavoro 1,tasteless; insipid 
no-fobo 1+,bold 
no-forti 1++,faint 
no-forti foto 1,gleam 
no-foto 1+,dark; darkness; obscure; shadowy 
no-freqe 1,now and then; occasionally; scarce 
no-fresko 1,stale 
no-functio (=no-funktio) 1X,out of order; useless 
no-funktio 1++,out of order; useless; vain 
no-game gina 1,spinster 
no-game-an 1,bachelor 
no-ge-arma 1,unarmed 
no-ge-expekta 1,unexpected 
no-ge-frakti 1,unbroken 
no-ge-game 1,unmarried 
no-ge-ski 1+,unknown 
no-gluko 1,unpleasant 
no-gravi 1++,light (not heavy); petty; trifling; trivial; unimportant; whatever (no matter what) 
no-hedo 1,misery 
no-justi 1,unreasonable 
no-kali 1++,ugly; unsightly 
no-kargo 1++,discharge 
no-kine 1++G,motionless; not moving; stationary; still (not moving) 
no-klari 1+,obscure; vague 
no-klu-co 1+,apart from that 
no-kompara 1++,contrast 
no-komuni 1,uncommon 
no-Kristi (=no-Kristo) 1X,heathen 
no-Kristo 1*,heathen 
no-kritici 1,undiscriminating 
no-kura 1+,careless; indifferent; neglect 
no-lauda 1,disapproval; disapprove 
no-lega 1,illegal 
no-libe 1,dependent 
no-liberali 1,mean-minded 
no-luci 1+,blurred; opaque 
no-memo 1++,forget 
no-mira 1,ordinary 
no-muta 1,invariably; obstinate; steady 
no-narko 1+,sober 
no-neo 1,old 
no-noku 1,harmless 
no-norma 1,unorthodox 
no-pende 1,independent 
no-place 1+,displease; offend 
no-plika 1,unfold 
no-poli 1++,few 
no-posi 1,impossible 
no-pote 1,unable 
no-probabili 1,unlikely 
no-profito 1++,disadvantage; vain 
no-profunda 1++,shallow 
no-puri 1++,dirt; dirty; filthy; foul; shabby 
no-puri-do 1,hovel 
no-puri-ma 1+,dirt; litter (dirt) 
no-puta akti 1+,rash 
no-regula 1,irregular 
no-rekti 1+,crooked 
no-resista 1++,weak 
no-rugo 1,mild 
no-sani 1,unwell 
no-sati 1++,scanty 
no-semani 1++G,nonsense; senseless 
no-sistema 1,untidy 
no-skope 1G,unobservant 
no-sofi 1,unwise; foolish 
no-soni 1++,quiet; noiseless; silence; silent; soundless 
no-spe 1+,despair; desperate 
no-spende-pe 1,miser 
no-stimula 1++,dull (boring); boring (adj) 
no-sura 1++,uncertain; waver 
no-take 1,slow 
no-tegu 1,expose 
no-tekno 1++G,awkward; clumsy 
no-turba 1,calm 
no-valu 1+,despise; disgrace; valueless 
no-vari 1,invariably 
no-vesti 1,undress; strip (undress) 
no-vide 1++,blind 
no-vista 1,invisible 
no-volu 1,unwilling; disallow; reject; reluctant; repel 
nobili 1,noble 
noce (prefer noku),damage; harm; hurt 
nodi 1++,knot; node 
noema G,understanding (n) 
nokti (=noktu) X,night 
noktu 1++,night; nocturnal 
noktu-papilio 1+,moth 
noku 1++,damage; harm; harmful; hurt; inflict; injure; mischief; noxious; spoil (damage); torment; wear out 
noku-zoa 1,vermin 
nola G,bell (small) 
nomadi G,nomadic; wandering 
nomi 1++G,law; -nomy (suffix law) ; right (n); rule (standard); theory 
nomina 1++,name; nominate 
nomina-verba 1+,noun 
"non- (if following letter consonant, else take no-) 1+",dis-; (opposite formed); un- (form opposite); (prefix:) opposite; opposite (prefix) 
non-acide 1,non-existence; unreal 
non-akorda 1,objection 
non-aktivi 1,idle; inert 
non-akuto 1++,blunt (not sharp); dull (not sharp) 
non-aliena 1,familiar 
non-alti 1,low 
non-ami 1++,enemy; foe; hostile; ill-feeling 
non-amo 1++,disgust; mean (not nice) 
non-arki 1,unofficial 
non-atende 1,prompt 
non-audi 1++,deaf 
non-equ (=non-iso) 1X,unequal 
non-ergo 1,recreation 
non-etio 1,innocent 
non-hedo 1++,unhappy; grief; sad; sorrow 
non-homo 1,unlike 
non-iso 1+,unequal 
non-ofere 1+,withold 
non-ofero (=non-ofere) X,withold 
nona 1++G,nine 
nona-ze 1,ninety 
noo G,intellect; mind (n) 
nord 1++,north 
nordi (=nord) 1X,north 
nordo-me 1+,compass 
norma 1++,normal; standard; conventional 
nosfidi G,stealthy 
noske (prefer ski),know 
noso G,disease 
nospira 1,snort 
nosto G,return home 
nota 1++,note; notice; bill; observe; record; remark 
nota bibli 1,notebook 
nota-ka 1,wallet (for money); pocket-book (wallet) 
noti (=nota) 1X,notice 
noti-taba 1,notice-board 
notice (=nota) 1X,notice; note; remark; observe 
noto 1G,back (n) 
noto G,spurious 
nova 1++,news; news-item; piece of news 
plu nova 1,tidings 
nova papira (=nova-papira) 1X,newspaper 
nova-papira 1++,newspaper 
novela 1,novel (story) 
noveli (=novela) X,novel (story) 
Novembra (prefer meno mo-mo) 1,November 
"novembro (=Novembra, prefer meno mo-mo) X",November 
nu 1++,now; present (now); present (time); present time; up-to-date 
nu nece akti 1,urgent 
nu-di 1++,today; modern; nowadays 
nu-fu 1++,just going to; just (time); presently (soon); soon 
nu-noktu 1++,tonight 
nu-pa 1,just (time); recent 
nu-tem 1+,present time; present (time); modern 
nuance,nuance 
nubi 1,cloud 
nubili,marriageable 
nuca,back of neck 
nuci,nut 
nudi 1++,nude; bare; naked 
nuki 1++,nut; kernel; nuclear; nucleus 
nuki energi 1+,nuclear energy 
nukle,nucleus 
nuklea (prefer nuki) 1,kernel; nucleus 
nul-ergo 1,unemployment 
nul-ergo-pe 1,unemployed person 
nuli 1++,null; nullify; nothing; abolish; abort; cancel; eliminate; naught; nil; no; repeal; zero 
nuli bibli 1,no books 
nuli kron (=nuli-kron) 1X,never 
nuli-kron 1++,never 
nuli-lo 1++,nowhere 
nuli-mo 1,none 
nuli-pe 1+,no one; nobody 
nuli-ra 1,nothing 
nuli-tem,never 
nume (=numera) 1X,count; number 
numera 1++,number; count; digit 
numera mo 1,first 
numera panto-pe 1++,altogether 
numera panto-ra 1++,altogether 
numi 1,coin 
nuna 1,nun 
nuna-do 1+,convent 
nunci 1+,announce; publish 
nupti 1,marriage ceremony; wedding 
nuptia (=nupti) X,wedding 
nuta 1+,nod; agree 
nutra (=neutra) 1X,neutral 
nutri 1+,feed (v); give to eat ; nourish 
o!,oh! 
ob-,(prefix:) in-the-way; in-the-way (prefix) 
obe 1++,obey; execute; obedience; obedient 
obesi 1,obese; fat (thick); thick 
obit,death; downfall 
objekti 1+,object; being (n) 
obliga 1,compel 
obliqi 1+,oblique 
oblivio,forget 
oblongi 1+,oblong 
obnubila,overcloud 
obrimo G,mighty; strong 
obsceni,obscene 
obseqio,obsequious; servile 
observa,observe 
observa-ra,observation 
obskuri 1,dark 
obsolesce,obsolescent 
obstakula,obstacle 
obstina 1++,obstinate; stubborn 
obstrukti,obstruct 
obtena,obtain 
"obtunde (=obtusi, prefer non-akuto) X",blunt (not sharp) 
obtusi (prefer non-akuto),blunt (not sharp); dull (not sharp) 
obvia,obviate 
obvio,obvious; conspicuous; clear (evident) 
oceani 1++G,ocean 
oceli,eye (little) 
ocide 1++,west; western; occidental 
ocidenta (prefer ocide),west 
ociputa,back of head 
ode G,song 
odino G,childbirth pains 
odi (=odio) 1X,hate 
odio 1++,odious; hate; detest; disgust; distaste; hatred; loathe 
odio-pe 1,pest (nasty person); nasty fellow 
odisi G,anger 
Odobenus 1,walrus 
odonto 1G,tooth 
odori (=odoro) X,odor; odour; smell 
odoro 1++,odor; odour; smell; aroma; scent 
oeno (prefer vini) G,wine 
oestro G,gad-fly; sex-heat 
ofendo,offence; offend; offense; offensive 
ofere 1++,offer 
ofere se 1++,be a candidate ; run (for office) 
ofero (=ofere) 1X,offer 
ofero se (=ofere se) X,be a candidate ; run (for office) 
ofi,snake 
ofice 1++,office; official (adj); clearance (customs) 
ofice-pe 1++,officer; official (n) 
ofici (=ofice) 1X,official (adj); office; clearance (customs) 
oficia (=ofice) X,office; official (adj) 
oficia-pe (=ofice-pe) X,officer; official (n) 
oficiali (=ofice) 1X,official (adj) 
ogro 1,ogre 
ok (short form of okto),eight 
okasio 1++,occasion; chance; opportunity 
oklo 1G,crowd (n) 
okno G,hesitate; slow 
oko (=oku) GX,eye 
okrea,legging; sheath 
okto 1++,eight 
okto-ze 1,eighty 
Oktobra (prefer meno deka) 1,October 
"oktobro (=Oktobra, prefer meno deka) X",October 
Oktopus 1G,octopus 
oku 1++,eye; notice (with eyes); optical; peep; perceive (with eyes); see (look) 
oku-sema 1,wink 
oku-tegu 1++,eyelid 
okuli (prefer oku),eye 
okulta,hidden 
okupa +,occupy 
ola,jar; pot 
ole (=olea) 1X,lubrication; lubricant 
olea 1++G,oil; lubricant; lubrication; anoint 
olei (=olea) GX,oil 
olera,vegetables 
oleske (prefer kresce),grow 
olface 1+,smell (v); flair; nose; sniff 
oligo 1++G,few; several 
oliva (=Olivi) X,olive 
Olivi 1+,olive 
oma G,eye 
oma G,tumor 
ombro G,rainstorm 
omfalo G,navel 
omite 1+,omit 
omiti (=omite) X,omit 
omni 1,all; every; apiece 
omnibus (prefer short form bus) 1,bus; omnibus 
omo G,raw; unripe 
onagro G,ass (wild) 
oneiro G,dream 
onero,burden; load 
oniko 1,hoof; claw; talon; nail 
onko G,tumor 
onomato (prefer nomina) G,name 
onto 1+G,be; being (n); exist 
opaci G,opaque 
opera 1,opera 
opera (prefer operatio) 1,operate; operation; handle; manage; manufacture; work 
operatio 1,operate; operation; handle; manage; manufacture; work 
operkula,cover; lid 
opida,town 
opini 1+,opinion; be of the opinion ; opine 
opinio (=opini) 1X,opinion 
opisto- G,(prefix:) behind; behind (prefix) 
opo 1,eye 
oportuni,suitable 
oportuni-tem,opportunity 
opositi +,opposite; opposition 
opresi 1++,oppress 
opsi,sight 
opsi- G,(prefix:) late; late (prefix) 
optalmo (prefer oku) G,eye 
opti,eye; vision 
opti 1,choose; elect; opt 
optimi,best 
optimisti 1,optimist 
opulento,rich 
opus,work (n) 
ora 1,mouth; oral 
orakula,oracle; prophecy 
orali 1,oral 
orama G,view 
orange (French),orange (colour) 
orange (French) 1++,orange (fruit) 
oratora 1,orator 
orbi (=orbita) X,circle; world 
orbi-ra (take satelita) X,satellite 
orbis (=orbita) X,cycle 
orbita 1+,orbit; circle; cycle; world 
ordina 1++,order (arrangement); order (series); ordain (priest); grade (v); rank 
ordinari 1,ordinary 
orfana 1+G,orphan 
orfano (=orfana) GX,orphan 
organi 1++G,organ 
organismo 1++G,organism; being (n); organisation 
organiza 1+,organize; arrange 
orgasmo G,orgasm 
orgi G,orgy 
ori 1,rise (go up) 
